rootfs / rootfs rw,size=1818660k,nr_inodes=454665 0 0
sysfs /sys sysfs rw,nosuid,nodev,noexec,relatime 0 0
proc /proc proc rw,nosuid,nodev,noexec,relatime 0 0
udev /dev devtmpfs rw,nosuid,relatime,size=1818660k,nr_inodes=454665,mode=755 0 0
devpts /dev/pts devpts rw,nosuid,noexec,relatime,gid=5,mode=620,ptmxmode=000 0 0
tmpfs /run tmpfs rw,nosuid,noexec,relatime,size=383044k,mode=755 0 0
/dev/sda10 /userdata ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/loop0 / ext4 ro,relatime,data=ordered 0 0
tmpfs /run tmpfs rw,nosuid,noexec,relatime,mode=755 0 0
tmpfs /etc/fstab tmpfs rw,nosuid,noexec,relatime,mode=755 0 0
/dev/sda10 /etc/NetworkManager/system-connections ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/netplan ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/default/ufw ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/ufw ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/ssh ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/writable ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/udev/rules.d ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/modules-load.d ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/systemd/system ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/binfmt.d ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/lightdm/lightdm.conf.d ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/hosts ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/keyd ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /etc/machine-id ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
tmpfs /var/lib/lxc/android/config tmpfs rw,nosuid,noexec,relatime,size=383044k,mode=755 0 0
securityfs /sys/kernel/security securityfs rw,nosuid,nodev,noexec,relatime 0 0
tmpfs /dev/shm tmpfs rw,nosuid,nodev 0 0
tmpfs /run/lock tmpfs rw,nosuid,nodev,noexec,relatime,size=5120k 0 0
tmpfs /sys/fs/cgroup tmpfs ro,nosuid,nodev,noexec,size=4096k,nr_inodes=1024,mode=755 0 0
cgroup /sys/fs/cgroup/systemd cgroup rw,nosuid,nodev,noexec,relatime,xattr,release_agent=/usr/lib/systemd/systemd-cgroups-agent,name=systemd 0 0
pstore /sys/fs/pstore pstore rw,nosuid,nodev,noexec,relatime 0 0
cgroup /sys/fs/cgroup/blkio cgroup rw,nosuid,nodev,noexec,relatime,blkio 0 0
cgroup /sys/fs/cgroup/devices cgroup rw,nosuid,nodev,noexec,relatime,devices 0 0
cgroup /sys/fs/cgroup/cpuset cgroup rw,nosuid,nodev,noexec,relatime,cpuset 0 0
cgroup /sys/fs/cgroup/cpu,cpuacct cgroup rw,nosuid,nodev,noexec,relatime,cpu,cpuacct 0 0
cgroup /sys/fs/cgroup/perf_event cgroup rw,nosuid,nodev,noexec,relatime,perf_event 0 0
cgroup /sys/fs/cgroup/debug cgroup rw,nosuid,nodev,noexec,relatime,debug 0 0
cgroup /sys/fs/cgroup/bfqio cgroup rw,nosuid,nodev,noexec,relatime,bfqio 0 0
cgroup /sys/fs/cgroup/freezer cgroup rw,nosuid,nodev,noexec,relatime,freezer 0 0
debugfs /sys/kernel/debug debugfs rw,nosuid,nodev,noexec,relatime 0 0
tracefs /sys/kernel/tracing tracefs rw,nosuid,nodev,noexec,relatime 0 0
configfs /sys/kernel/config configfs rw,nosuid,nodev,noexec,relatime 0 0
fusectl /sys/fs/fuse/connections fusectl rw,nosuid,nodev,noexec,relatime 0 0
/dev/sda10 /home ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
tmpfs /media tmpfs rw,relatime 0 0
/dev/sda10 /nix ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /opt/click.ubuntu.com ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
