t,usb0,mac,carrier,host_txp,host_rxp,ping15,ping82,http22,status8080
14:30:21,1,36:f7:e9:0c:86:ad,1,119,119,Y,Y,N,N
14:30:25,1,36:f7:e9:0c:86:ad,1,134,133,Y,Y,N,N
14:30:29,1,36:f7:e9:0c:86:ad,1,149,140,N,N,N,N
14:30:33,1,36:f7:e9:0c:86:ad,1,158,140,N,N,N,N
14:30:37,1,36:f7:e9:0c:86:ad,1,166,140,N,N,N,N
14:30:41,1,36:f7:e9:0c:86:ad,1,171,141,N,N,N,N
14:30:46,1,36:f7:e9:0c:86:ad,1,176,141,N,N,N,N
14:30:50,1,36:f7:e9:0c:86:ad,1,182,141,N,N,N,N
14:30:54,1,36:f7:e9:0c:86:ad,1,187,141,N,N,N,N
14:30:58,1,36:f7:e9:0c:86:ad,1,195,141,N,N,N,N
14:31:02,1,36:f7:e9:0c:86:ad,1,203,141,N,N,N,N
14:31:06,1,36:f7:e9:0c:86:ad,1,208,141,N,N,N,N
14:31:10,1,36:f7:e9:0c:86:ad,1,214,141,N,N,N,N
14:31:14,1,36:f7:e9:0c:86:ad,1,219,141,N,N,N,N
14:31:18,1,36:f7:e9:0c:86:ad,1,226,141,N,N,N,N
14:31:22,1,36:f7:e9:0c:86:ad,1,232,141,N,N,N,N
14:31:26,1,36:f7:e9:0c:86:ad,1,238,141,N,N,N,N
14:31:30,1,36:f7:e9:0c:86:ad,1,243,141,N,N,N,N
14:31:34,1,36:f7:e9:0c:86:ad,1,250,141,N,N,N,N
14:31:38,1,36:f7:e9:0c:86:ad,1,255,141,N,N,N,N
14:31:42,1,36:f7:e9:0c:86:ad,1,263,141,N,N,N,N
14:31:46,1,36:f7:e9:0c:86:ad,1,268,141,N,N,N,N
14:31:50,1,36:f7:e9:0c:86:ad,1,275,142,N,N,N,N
14:31:54,1,36:f7:e9:0c:86:ad,1,280,142,N,N,N,N
14:31:58,1,36:f7:e9:0c:86:ad,1,287,142,N,N,N,N
14:32:02,1,36:f7:e9:0c:86:ad,1,292,142,N,N,N,N
14:32:06,1,36:f7:e9:0c:86:ad,1,299,142,N,N,N,N
14:32:10,1,36:f7:e9:0c:86:ad,1,304,142,N,N,N,N
14:32:14,1,36:f7:e9:0c:86:ad,1,311,142,N,N,N,N
14:32:18,1,36:f7:e9:0c:86:ad,1,316,142,N,N,N,N
14:32:22,1,36:f7:e9:0c:86:ad,1,323,142,N,N,N,N
14:32:26,1,36:f7:e9:0c:86:ad,1,328,142,N,N,N,N
14:32:30,1,36:f7:e9:0c:86:ad,1,335,142,N,N,N,N
14:32:34,1,36:f7:e9:0c:86:ad,1,340,142,N,N,N,N
